# RBC instances,batch size,total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),1% longest delay(s),1% shortest delay(s),1% least throughout(TXs/s),1% largest throughout(TXs/s)
1,50000,3470000.0,212.1647,2.1216470000000003,16610.304801232574,3.251842498779297,1.6151949564615886,8908.943605350456,17860.510248705174
1,100000,6942500.0,274.619171,2.7461917099999997,25584.457838230173,4.110771814982097,2.143005132675171,13786.632376357229,26954.92049478843
1,250000,17360000.0,480.827234,4.808272339999999,36196.38951459387,5.669424255688985,3.8216097752253213,25342.493241657154,37795.04203116835
1,500000,34720000.0,849.947268,8.49947268,40967.00339750352,9.961086670557657,6.711746255556743,28850.500531034882,43068.9336112258
1,1000000,69442500.0,1580.922909,15.809229089999999,44069.91000239535,17.704017162322998,12.54880976676941,32534.456855251745,46076.600625626015
# RBC instances,batch size,total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),1% longest delay(s),1% shortest delay(s),1% least throughout(TXs/s),1% largest throughout(TXs/s)
1,50000,3470000.0,314.504734,3.1450473399999996,11130.21308051181,4.127462188402812,2.2662736972173056,6918.53408861829,12719.60268933985
1,100000,6942500.0,475.167592,4.75167592,14823.231479053306,6.12158465385437,3.1354817152023315,9394.666849003914,18389.66114285292
1,250000,17360000.0,1055.140408,10.55140408,16496.81418013646,12.301676670710245,7.343402465184529,11680.031796746654,19606.15104500695
1,500000,34720000.0,2152.976932,21.52976932,16932.43188407047,23.74924107392629,12.85265322526296,12142.63484577353,22379.496758575333
