# RBC instances,batch size,total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),1% longest delay(s),1% shortest delay(s),1% least throughout(TXs/s),1% largest throughout(TXs/s)
1,1,3500000.0,66.034204,0.6603420400000001,55252.79249386037,1.1466410954793294,0.4633801778157552,25275.157284118744,62882.698036699054
1,1,7000000.0,111.159666,1.11159666,63848.65015249547,1.5016250610351562,0.838349461555481,38547.51002395773,69475.87872555362
1,1,17500000.0,250.804597,2.50804597,70060.04945176546,2.9881019592285156,1.9466208219528198,48640.987355179466,74816.75160514466
1,1,35000000.0,491.761887,4.91761887,71331.6456149185,5.584322889645894,3.8781906763712564,51890.480184538486,75031.91569918474
1,1,70000000.0,957.046475,9.57046475,73272.62267770317,10.854164163271586,7.513929009437561,53395.89048108936,77397.89393842223
1,1,3500000.0,76.381966,0.76381966,46950.257900629455,1.2191822131474812,0.5242727200190226,23440.858479251692,55347.2681579357
1,1,7000000.0,134.786662,1.34786662,53066.279551916174,1.9492672284444172,0.9272722403208414,29550.70198546107,62663.02225920366
1,1,17500000.0,305.680042,3.05680042,57621.20278884576,3.6560792922973633,2.135585069656372,39669.62573980869,67995.0879040883
1,1,35000000.0,599.384851,5.99384851,58491.61003107321,7.219070355097453,3.6857516765594482,40202.98560346745,78679.05712402482
1,1,1750000.0,53.984918,0.53984918,45636.06464347671,13.08922004699707,0.32624109586079914,13680.70105540909,73260.98345031122
1,1,3500000.0,80.344642,0.8034464199999999,44659.468266287025,1.263399561246236,0.5049405892690023,22719.524164404032,57264.99206971129
1,1,7000000.0,138.089258,1.38089258,51642.71188345781,1.8769867420196533,0.9055614471435547,30733.908473679618,64045.58022747745
1,1,17500000.0,316.44585,3.1644585000000003,60289.36457237448,3.9782622257868447,1.7880949179331462,36390.18484312355,81060.8653377573
1,1,35000000.0,668.676226,6.68676226,52847.50742848251,7.549236416816711,4.281342347462972,38555.14495988834,67457.65803692162
1,1,70000000.0,1274.580105,12.74580105,55667.22049806957,14.680020093917847,7.965654095013936,39544.78369288528,72721.36058322927
