         1074306 function calls (1073008 primitive calls) in 11.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8947/8929    0.040    0.000  154.114    0.017 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
8938/8929    0.029    0.000   78.480    0.009 run_socket_node.py:121(<lambda>)
8938/8929    0.087    0.000   35.556    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8929    1.792    0.000   14.931    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000    9.295    9.295 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
8938/8929    0.030    0.000    8.954    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
8933/8929    0.027    0.000    6.541    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8930/8929    0.071    0.000    6.366    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.002    0.000    2.304    0.230 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.304    0.230 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.291    0.229 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
      120    0.003    0.000    2.217    0.018 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
     1540    2.079    0.001    2.079    0.001 {built-in method charm.core.math.pairing.pair}
      600    0.003    0.000    1.307    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     1233    0.001    0.000    1.295    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.294    0.001    1.294    0.001 {built-in method charm.core.math.pairing.deserialize}
     8928    0.710    0.000    1.265    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
        1    0.000    0.000    1.192    1.192 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.192    1.192 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.191    1.191 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
       23    0.000    0.000    1.190    0.052 {built-in method _pickle.load}
       68    0.000    0.000    1.186    0.017 /home/hugo/BDT/crypto/threshsig/boldyreva.py:52(deserialize2)
    13886    1.051    0.000    1.061    0.000 /usr/local/lib/python3.6/dist-packages/gevent/hub.py:129(sleep)
      120    0.184    0.002    0.910    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:196(decrypt_share)
      120    0.862    0.007    0.878    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:166(<listcomp>)
      120    0.008    0.000    0.727    0.006 /home/hugo/BDT/crypto/threshenc/tpke.py:138(verify_ciphertext)
        2    0.000    0.000    0.619    0.310 /home/hugo/BDT/crypto/threshsig/boldyreva.py:98(__setstate__)
     5533    0.014    0.000    0.591    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:18(ecdsa_vrfy)
        2    0.000    0.000    0.567    0.283 /home/hugo/BDT/crypto/threshsig/boldyreva.py:177(__setstate__)
     7756    0.019    0.000    0.565    0.000 /usr/lib/python3.6/multiprocessing/connection.py:208(recv_bytes)
     7756    0.024    0.000    0.539    0.000 /usr/lib/python3.6/multiprocessing/connection.py:406(_recv_bytes)
     5533    0.017    0.000    0.508    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/utils.py:95(verify_signature)
    15512    0.043    0.000    0.506    0.000 /usr/lib/python3.6/multiprocessing/connection.py:374(_recv)
      130    0.001    0.000    0.495    0.004 /home/hugo/BDT/crypto/threshenc/tpke.py:77(hashH)
      181    0.002    0.000    0.495    0.003 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:96(hash)
      181    0.493    0.003    0.493    0.003 {built-in method charm.core.math.pairing.H}
       48    0.001    0.000    0.485    0.010 /home/hugo/BDT/crypto/threshsig/boldyreva.py:128(verify_share)
    15512    0.453    0.000    0.453    0.000 {built-in method posix.read}
     5533    0.412    0.000    0.412    0.000 {built-in method _libsecp256k1.secp256k1_ecdsa_verify}
      2/1    0.000    0.000    0.243    0.243 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:74(run)
      2/1    0.001    0.000    0.243    0.243 /home/hugo/BDT/dumbobft/core/dumbo.py:135(run_bft)
     1846    0.003    0.000    0.231    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:206(_send)
     1846    0.002    0.000    0.228    0.000 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:50(<lambda>)
     1846    0.002    0.000    0.225    0.000 /usr/lib/python3.6/multiprocessing/queues.py:128(put_nowait)
     1846    0.012    0.000    0.223    0.000 /usr/lib/python3.6/multiprocessing/queues.py:80(put)
